상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,총_유동인구_수,남성_유동인구_수_ratio,연령대_10_유동인구_수_ratio,연령대_20_유동인구_수_ratio,연령대_30_유동인구_수_ratio,연령대_40_유동인구_수_ratio,연령대_50_유동인구_수_ratio,시간대_00_06_유동인구_수_ratio,시간대_06_11_유동인구_수_ratio,시간대_11_14_유동인구_수_ratio,시간대_14_17_유동인구_수_ratio,시간대_17_21_유동인구_수_ratio,월요일_유동인구_수_ratio,화요일_유동인구_수_ratio,수요일_유동인구_수_ratio,목요일_유동인구_수_ratio,금요일_유동인구_수_ratio,토요일_유동인구_수_ratio
A,골목상권,3110388,도봉우체국,202678,460881,11320,도봉구,11320680,쌍문3동,55371,127.03034521174628,37.6475509095685,775243.0,0.427397603,0.182105482,0.114277717,0.130249483,0.143935514,0.150596652,0.304608502,0.209764447,0.100862828,0.099801223,0.148578313,0.139880941,0.139730021,0.138842559,0.139705512,0.13822856,0.147264413
A,골목상권,3110389,한일병원,202647,460524,11320,도봉구,11320680,쌍문3동,52890,127.02999264822589,37.64433448769298,384227.0,0.463119458,0.106218459,0.150301775,0.157006145,0.147896946,0.160501474,0.177546548,0.195486511,0.141601557,0.154268582,0.214048503,0.139346588,0.13803487,0.136275502,0.138852091,0.138414852,0.152505407
A,골목상권,3110394,방학중학교,203106,463000,11320,도봉구,11320700,방학2동,157817,127.03520401893272,37.66664136923422,1108758.0,0.494417633,0.10568302,0.102363092,0.110179038,0.152876324,0.193421654,0.263516664,0.195635489,0.113360769,0.117917207,0.17328712,0.140943163,0.139591201,0.138654117,0.141404038,0.139067191,0.14921818
A,골목상권,3110395,신한은행 방학동지점,203218,462687,11320,도봉구,11320690,방학1동,52472,127.03647206897575,37.66382091407126,350158.0,0.458972572,0.143770205,0.10381944,0.124644444,0.134368681,0.182087412,0.261774752,0.192608437,0.112766881,0.117176344,0.17520191,0.141312946,0.141221559,0.141221559,0.143429128,0.14264377,0.144928447
A,골목상권,3110430,중계초등학교,206575,461975,11350,노원구,11350624,중계4동,11185,127.07451309787947,37.65738803037677,90387.0,0.455275648,0.19015113,0.091983272,0.089903304,0.152081075,0.166707233,0.154869117,0.188259244,0.15802226,0.166552342,0.221173633,0.143110029,0.1409194,0.142479394,0.143630027,0.14214748,0.147170438
A,골목상권,3110431,상계역,206556,462351,11350,노원구,11350624,중계4동,55707,127.07430115109656,37.660775854840864,494396.0,0.46067618,0.162805045,0.124331759,0.108109912,0.148464285,0.176583501,0.141208667,0.173986035,0.147691324,0.166227073,0.252495975,0.135555578,0.135737619,0.135646598,0.136002589,0.137216194,0.160561899
A,골목상권,3110480,연신내역 3번,193392,457581,11380,은평구,11380520,불광1동,77808,126.92515264438028,37.617798543317264,254499.0,0.461758199,0.123162097,0.14829353,0.150376028,0.132195425,0.161884779,0.244852652,0.20108055,0.120200393,0.127964637,0.177119843,0.141085588,0.139533513,0.138044307,0.137749609,0.137073769,0.149604319
A,골목상권,3110481,불광역 7번,193522,456966,11380,은평구,11380570,대조동,88375,126.92663056899475,37.61225839319223,3432912.0,0.442124516,0.142093277,0.140285483,0.189287294,0.163601826,0.144674175,0.29683633,0.209092164,0.103757393,0.103136637,0.151780762,0.142812949,0.142354737,0.141498903,0.1412647,0.139522155,0.144163698
A,골목상권,3110455,역촌노인복지관,192271,455990,11380,은평구,11380625,역촌동,155405,126.91247213883028,37.60345508523692,1622663.0,0.441395138,0.207337929,0.125277861,0.12134729,0.159829663,0.150108001,0.314051461,0.206363733,0.099109243,0.094771314,0.146994079,0.14220372,0.141154212,0.139799651,0.14046892,0.139249321,0.14532821
A,골목상권,3110456,구산보건지소,192317,456472,11380,은평구,11380560,구산동,170875,126.91298801162267,37.60779823704551,1547673.0,0.415787066,0.215807861,0.133080438,0.128646038,0.15012409,0.144832274,0.296209858,0.215095178,0.111110034,0.103837826,0.145427361,0.141278643,0.141326457,0.140356613,0.140445779,0.139798355,0.143517489
A,골목상권,3110457,예일여고,192325,456907,11380,은평구,11380560,구산동,93412,126.91307405227352,37.61171760289346,714496.0,0.422604993,0.189462561,0.130652204,0.136450665,0.146012596,0.160803359,0.27779364,0.208675182,0.1113719,0.108994007,0.15767014,0.143334,0.142177946,0.141657301,0.14139418,0.143241628,0.143650306
A,골목상권,3110505,홍남교남측,193361,452692,11410,서대문구,11410615,연희동,21259,126.92484582926642,37.573748884900745,37664.0,0.457598768,0.105039562,0.115819659,0.173198449,0.19797143,0.162126281,0.184886222,0.227343937,0.129948753,0.148402857,0.191444731,0.136507262,0.13419718,0.13857837,0.137569369,0.139826346,0.152465415
